Date,Basic Materials,Consumer Goods,Energy,Financial Services,Healthcare,Industrial,Technology,Telecommunications,Utilities
2019-01-02,84.56999969482422,106.20999908447266,31.81999969482422,113.7300033569336,178.3300018310547,64.41500091552734,40.06999969482422,26.549999237060547,65.81999969482422
2019-01-03,82.05999755859375,104.87000274658203,31.510000228881836,111.55000305175781,174.36000061035156,62.560001373291016,38.21500015258789,26.139999389648438,65.93000030517578
2019-01-04,85.44000244140625,107.80999755859375,32.66999816894531,115.69000244140625,179.8300018310547,64.93499755859375,39.95249938964844,26.940000534057617,66.88500213623047
2019-01-07,85.55999755859375,108.2699966430664,33.18000030517578,116.18000030517578,181.24000549316406,65.3949966430664,40.290000915527344,27.31999969482422,66.44999694824219
2019-01-08,86.61000061035156,109.58000183105469,33.47999954223633,116.4000015258789,183.0800018310547,66.44999694824219,40.73749923706055,27.739999771118164,67.29000091552734
2019-01-09,86.9000015258789,109.2699966430664,33.9900016784668,117.22000122070312,183.75999450683594,66.875,41.154998779296875,27.559999465942383,66.79499816894531
2019-01-10,87.58999633789062,109.7699966430664,34.06999969482422,117.20999908447266,184.27999877929688,67.80500030517578,41.26499938964844,27.729999542236328,67.76000213623047
2019-01-11,87.1500015258789,110.0199966430664,33.849998474121094,117.37000274658203,184.85000610351562,67.70500183105469,41.16749954223633,27.940000534057617,67.49500274658203
2019-01-14,86.37999725341797,109.62999725341797,33.77000045776367,118.08999633789062,182.72000122070312,67.56500244140625,40.78499984741211,27.709999084472656,66.05500030517578
2019-01-15,85.80999755859375,110.48999786376953,33.900001525878906,119.05999755859375,186.13999938964844,67.55500030517578,41.5625,27.860000610351562,66.88999938964844
2019-01-16,86.51000213623047,109.87000274658203,33.869998931884766,121.8499984741211,185.72000122070312,67.73999786376953,41.564998626708984,27.719999313354492,67.1449966430664
2019-01-17,87.93000030517578,110.70999908447266,34.20000076293945,122.5199966430664,187.5399932861328,68.70500183105469,41.86249923706055,27.709999084472656,67.42500305175781
2019-01-18,89.44999694824219,112.02999877929688,34.84000015258789,124.41000366210938,189.6300048828125,69.95999908447266,42.47999954223633,28.049999237060547,67.55500030517578
2019-01-22,87.98999786376953,110.62000274658203,34.02000045776367,123.2699966430664,188.27000427246094,68.75499725341797,41.689998626708984,27.719999313354492,67.66500091552734
2019-01-23,87.4000015258789,111.19999694824219,33.66999816894531,123.1500015258789,188.25,68.76000213623047,41.76499938964844,27.950000762939453,68.30999755859375
2019-01-24,86.87999725341797,110.54000091552734,33.86000061035156,123.41999816894531,186.8699951171875,69.23500061035156,42.10499954223633,27.959999084472656,68.66000366210938
2019-01-25,88.7699966430664,110.91000366210938,34.33000183105469,124.66000366210938,187.3000030517578,70.19000244140625,42.78499984741211,28.059999465942383,67.79000091552734
2019-01-28,88.58000183105469,111.11000061035156,33.95000076293945,124.30000305175781,185.10000610351562,69.57499694824219,42.21500015258789,27.8700008392334,67.44499969482422
2019-01-29,89.41999816894531,111.27999877929688,34.06999969482422,123.79000091552734,185.89999389648438,70.1500015258789,41.70000076293945,27.649999618530273,67.625
2019-01-30,90.68000030517578,112.43000030517578,34.58000183105469,124.18000030517578,188.5800018310547,71.16000366210938,42.97249984741211,27.610000610351562,68.11000061035156
2019-01-31,88.97000122070312,114.4000015258789,34.7400016784668,123.69000244140625,191.02000427246094,71.36000061035156,43.522499084472656,28.040000915527344,69.51000213623047
